GENERATIONS,MAX,AVR,MEDIAN,DIVERSITY
1,5778,918.06,642,100.0
2,7062,1399.56,1284,100.0
3,8025,1791.18,1605,100.0
4,8025,2064.03,2247,100.0
5,8025,2234.16,2247,100.0
6,8025,2317.62,2247,100.0
7,8025,2901.84,2889,100.0
8,8025,2722.08,2568,100.0
9,8025,3110.49,3531,100.0
10,8025,3453.96,3531,100.0
11,8025,3877.68,4494,99.97
12,9309,4233.99,4494,99.95
13,9309,4124.85,4494,100.0
14,9309,4311.03,4494,99.97
15,9309,5017.23,5136,100.0
16,9309,5392.8,5457,99.97
17,9309,5668.86,5457,100.0
18,9309,5700.96,5778,99.95
19,9951,6050.85,6099,99.97
20,9951,6275.55,6099,99.97
21,9951,6400.74,6420,99.97
22,9951,6747.42,6741,99.97
23,9951,7049.16,7062,99.97
24,9951,7399.05,7383,99.89
25,9951,7585.23,7704,99.91
26,9951,7598.07,7704,99.97
27,9951,7540.29,7704,99.97
28,9951,7813.14,7704,99.95
29,9951,7838.82,8025,99.97
30,9951,7903.02,8025,99.97
31,9951,7986.48,8025,99.95
32,10914,8082.78,8025,99.91
33,10914,8124.51,8346,99.95
34,10914,8435.88,8346,100.0
35,10914,8577.12,8667,99.87
36,10914,8628.48,8667,99.97
37,10914,8949.48,8988,100.0
38,10914,9100.35,9309,99.93
39,10914,9350.73,9630,99.97
40,10914,9530.49,9630,99.91
41,10914,9569.01,9630,100.0
42,10914,9784.08,9951,99.93
43,11556,9944.58,9951,99.91
44,11556,10037.67,9951,99.93
45,11877,10085.82,9951,99.97
46,11877,10072.98,9951,99.97
47,11877,10223.85,9951,99.95
48,11877,10413.24,10593,99.95
49,11877,10589.79,10914,100.0
50,11877,10499.91,10914,99.91
51,11877,10753.5,10914,99.85
52,11877,10891.53,10914,99.83
53,11877,10859.43,10914,99.85
54,11877,10856.22,10914,99.85
55,11877,10878.69,10914,99.85
56,11877,10901.16,10914,99.85
57,11877,10914.0,10914,99.93
58,11877,10942.89,10914,99.87
59,11877,11010.3,10914,99.81
60,12198,11003.88,10914,99.69
61,12198,11064.87,10914,99.83
62,12198,11190.06,10914,99.93
63,12198,11235.0,11235,99.83
64,12198,11405.13,11556,99.53
65,12198,11491.8,11877,99.61
66,12198,11690.82,11877,99.73
67,12198,11684.4,11877,99.79
68,12198,11732.55,11877,99.77
69,12198,11694.03,11877,99.73
70,12198,11738.97,11877,99.75
71,12198,11844.9,11877,99.77
72,12198,11960.46,12198,99.83
